# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Mar 27 07:16:16 2025
#
# User preference:
#
# CONSTRAINT:  where (tran_flag = 1
# CONSTRAINT:  and pl_orbperstr < 10
# CONSTRAINT:  and pl_radjstr > 0
# CONSTRAINT:  and pl_bmassjstr > 0.2
# CONSTRAINT:  and sy_vmagstr < 10)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN tran_flag:      Detected by Transits
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,pl_trandur,pl_trandep,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,tran_flag,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
WASP-189 b,WASP-189,4.3336,,1,1,Transit,2020,CHaracterising ExOPlanets Satellite (CHEOPS),1,0,2.724033,,,0,0.05053,0.00098,-0.00098,0,18.147,0.235,-0.235,0,1.619,0.021,-0.021,0,632.47853,50.85255,-44.49598,0,1.99,0.16,-0.14,0,Mass,0,,,0,,,,,3353,27,-34,0,0,,8000,80,-80,0,2.36,0.03,-0.03,0,2.03,0.07,-0.07,0,0.29,0.13,-0.13,0,[Fe/H],3.9,0.2,-0.2,0,15h02m44.82s,225.686732,-03d01m53.35s,-3.0314874,99.731,0.754,-0.7432,6.59776,0.023,-0.023,6.06,0.021,-0.021,6.55369,0.00043,-0.00043
KELT-9 b,KELT-9,3.9158,,2,1,Transit,2017,KELT-North,1,0,1.4811235,0.0000011,-0.0000011,0,0.03462,0.0011,-0.00093,0,21.196,0.684,-0.594,0,1.891,0.061,-0.053,0,915.3504,266.9772,-266.9772,0,2.88,0.84,-0.84,0,Mass,0,,,0,44900,8100,-7200,0,4050,180,-180,0,0,B9.5-A0,10170,450,-450,0,2.36,0.07,-0.06,0,2.52,0.25,-0.2,0,-0.03,0.2,-0.2,0,[Fe/H],4.09,0.01,-0.01,0,20h31m26.38s,307.8598998,+39d56m20.10s,39.9389161,204.455,1.582,-1.558,7.55,0.01,-0.01,7.482,0.02,-0.02,7.57675,0.000333,-0.000333
KELT-20 b,KELT-20,3.5755,,1,1,Transit,2017,KELT-North,1,0,3.4741085,0.0000019,-0.0000019,0,0.0542,0.0014,-0.0021,0,19.515,0.773,-0.829,0,1.741,0.069,-0.074,0,1074.90106,,,1,3.382,,,1,Mass,0,,,0,4362.5,595.2,-536.4,0,2262,73,-73,0,0,A2 V,8720,250,-260,0,1.57,0.06,-0.06,0,1.76,0.14,-0.19,0,-0.29,0.22,-0.36,0,[Fe/H],4.29,0.02,-0.02,0,19h38m38.74s,294.6614126,+31d13m09.12s,31.2192001,136.426,0.816,-0.807,7.59,0.03,-0.03,7.415,0.017,-0.017,7.57492,0.000509,-0.000509
HD 209458 b,HD 209458,3.072,,1,1,Radial Velocity,1999,W. M. Keck Observatory,1,0,3.52474859,0.00000038,-0.00000038,0,0.04707,0.00045,-0.00047,0,15.581,0.224,-0.224,0,1.39,0.02,-0.02,0,232.0159,12.7132,-12.7132,0,0.73,0.04,-0.04,0,Mass,0,,,0,587.1,,,0,1459,12,-12,0,0,,6091,10,-10,0,1.18,0.01,-0.01,0,1.13,0.03,-0.02,0,0.01,,,0,[Fe/H],4.37,0.01,-0.01,0,22h03m10.81s,330.7950219,+18d53m03.27s,18.8842419,48.3016,0.124,-0.1234,7.65,0.03,-0.03,6.308,0.026,-0.026,7.50866,0.000406,-0.000406
HD 189733 b,HD 189733,1.8233,,2,1,Radial Velocity,2005,Haute-Provence Observatory,1,0,2.21857567,0.00000015,-0.00000015,0,0.03126,0.00036,-0.00036,0,12.666,0.112,-0.112,0,1.13,0.01,-0.01,0,359.1479,25.4264,-25.4264,0,1.13,0.08,-0.08,0,Mass,0,,,0,356,13,-12,0,1209,11,-11,0,0,K2 V,5052,16,-16,0,0.75,0.01,-0.01,0,0.83,0.03,-0.03,0,-0.02,,,0,[Fe/H],4.59,0.01,-0.02,0,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,19.7638,0.0128,-0.0127,7.67,0.03,-0.03,5.541,0.021,-0.021,7.41432,0.000374,-0.000374
TOI-1431 b,TOI-1431,2.489,,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,0,2.650237,0.000003,-0.000003,0,0.046,0.002,-0.002,0,16.701,0.56,-0.56,0,1.49,0.05,-0.05,0,991.62463,57.20911,-57.20911,0,3.12,0.18,-0.18,0,Mass,0.0022,0.003,-0.0016,0,5300,500,-470,0,2370,70,-70,0,0,,7575,191.91,-98.31,0,1.94,0.06,-0.06,0,1.9,0.1,-0.08,0,0.09,0.03,-0.03,0,[Fe/H],4.15,0.04,-0.04,0,21h04m48.89s,316.2036922,+55d35m16.88s,55.5880221,148.925,1.034,-1.02,8.03,0.03,-0.03,7.439,0.029,-0.029,7.97561,0.000252,-0.000252
HD 118203 b,HD 118203,5.643,,1,2,Radial Velocity,2005,Haute-Provence Observatory,1,0,6.134989,0.0000013,-0.0000013,0,0.0701,0.0004,-0.0004,0,12.554,1.009,-1.009,0,1.12,0.09,-0.09,0,693.50158,10.48834,-10.48834,0,2.182,0.033,-0.033,0,Mass,0.301,0.006,-0.006,0,593.4,8.2,-8.2,0,1371,16,-17,0,0,,5872,20,-20,0,2.1,0.05,-0.05,0,1.35,0.01,-0.01,0,0.22,0.02,-0.02,0,[Fe/H],3.89,0.02,-0.02,0,13h34m02.39s,203.509956,+53d43m41.48s,53.7281876,92.2589,0.2364,-0.2352,8.05,0.03,-0.03,6.543,0.023,-0.023,7.89255,0.00031,-0.00031
WASP-33 b,WASP-33,2.854,,2,1,Transit,2010,SuperWASP,1,0,1.21987,0.000001,-0.000001,0,0.0239,0.00063,-0.00063,0,17.856,0.829,-0.829,0,1.593,0.074,-0.074,0,665.21819,44.17837,-44.17837,0,2.093,0.139,-0.139,0,Mass,0,,,0,9392.05,,,0,2782,41,-41,0,0,A5,7430,100,-100,0,1.44,0.03,-0.03,0,1.5,0.03,-0.03,0,0.1,,,0,[M/H],4.25,0.08,-0.08,0,02h26m51.06s,36.7127375,+37d33m01.60s,37.5504441,121.944,0.998,-0.983,8.14,0.03,-0.03,7.468,0.024,-0.024,8.07004,0.000433,-0.000433
HD 149026 b,HD 149026,3.14,,1,1,Radial Velocity,2005,Subaru Telescope,1,0,2.87589,0.000002,-0.000002,0,0.04364,0.00022,-0.00022,0,8.295,0.224,-0.224,0,0.74,0.02,-0.02,0,120.7754,19.0698,-19.0698,0,0.38,0.06,-0.06,0,Mass,0,,,0,1095.91,,,0,1626,69,-37,0,0,G0,6179,15,-15,0,1.41,0.03,-0.03,0,1.42,0.33,-0.33,0,0.32,,,0,[Fe/H],4.37,0.04,-0.04,0,16h30m29.52s,247.6229827,+38d20m51.13s,38.3475349,75.8643,0.174,-0.1733,8.15,0.03,-0.03,6.819,0.017,-0.017,8.01416,0.000382,-0.000382
DS Tuc A b,DS Tuc A,3.176,,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1,0,8.138268,0.000011,-0.000011,0,,,,,5.7,0.17,-0.17,0,0.509,0.015,-0.015,0,413.179,,,1,1.3,,,1,Mass,0,,,0,115.83,,,0,850,,,0,0,G6 V,5428,80,-80,0,0.96,0.03,-0.03,0,1.01,0.06,-0.06,0,0,,,0,,4.6,0.15,-0.15,0,23h39m39.71s,354.9154673,-69d11m45.75s,-69.196043,44.0622,0.0693,-0.0691,8.17,0.03,-0.03,6.676,0.034,-0.034,8.31926,0.001025,-0.001025
