# wl_(um)         transit_depth
0.24008          1.068665e-02
0.24032          1.068614e-02
0.24056          1.068563e-02
0.24080          1.068512e-02
0.24104          1.068461e-02
0.24129          1.068410e-02
0.24153          1.068359e-02
0.24177          1.068308e-02
0.24201          1.068257e-02
0.24225          1.068205e-02
0.24249          1.068154e-02
0.24274          1.068103e-02
0.24298          1.068051e-02
0.24322          1.068000e-02
0.24347          1.067948e-02
0.24371          1.067897e-02
0.24395          1.067845e-02
0.24420          1.067793e-02
0.24444          1.067742e-02
0.24469          1.067690e-02
0.24493          1.067638e-02
0.24518          1.067586e-02
0.24542          1.067534e-02
0.24567          1.067482e-02
0.24591          1.067430e-02
0.24616          1.067378e-02
0.24641          1.067326e-02
0.24665          1.067274e-02
0.24690          1.067222e-02
0.24715          1.067169e-02
0.24739          1.067117e-02
0.24764          1.067064e-02
0.24789          1.067012e-02
0.24814          1.066960e-02
0.24838          1.066907e-02
0.24863          1.066854e-02
0.24888          1.066802e-02
0.24913          1.066749e-02
0.24938          1.066696e-02
0.24963          1.066643e-02
0.24988          1.066590e-02
0.25013          1.066538e-02
0.25038          1.066485e-02
0.25063          1.066432e-02
0.25088          1.066378e-02
0.25113          1.066325e-02
0.25138          1.066272e-02
0.25163          1.066219e-02
0.25189          1.066166e-02
0.25214          1.066112e-02
0.25239          1.066059e-02
0.25264          1.066005e-02
0.25290          1.065952e-02
0.25315          1.065898e-02
0.25340          1.065845e-02
0.25366          1.065791e-02
0.25391          1.065737e-02
0.25416          1.065683e-02
0.25442          1.065630e-02
0.25467          1.065576e-02
0.25493          1.065522e-02
0.25518          1.065468e-02
0.25544          1.065414e-02
0.25569          1.065360e-02
0.25595          1.065305e-02
0.25621          1.065251e-02
0.25646          1.065197e-02
0.25672          1.065143e-02
0.25698          1.065088e-02
0.25723          1.065034e-02
0.25749          1.064979e-02
0.25775          1.064925e-02
0.25801          1.064870e-02
0.25826          1.064815e-02
0.25852          1.064761e-02
0.25878          1.064706e-02
0.25904          1.064651e-02
0.25930          1.064596e-02
0.25956          1.064541e-02
0.25982          1.064486e-02
0.26008          1.064431e-02
0.26034          1.064376e-02
0.26060          1.064321e-02
0.26086          1.064266e-02
0.26112          1.064211e-02
0.26138          1.064155e-02
0.26164          1.064100e-02
0.26190          1.064045e-02
0.26217          1.063989e-02
0.26243          1.063934e-02
0.26269          1.063878e-02
0.26295          1.063822e-02
0.26322          1.063767e-02
0.26348          1.063711e-02
0.26374          1.063655e-02
0.26401          1.063599e-02
0.26427          1.063543e-02
0.26454          1.063487e-02
0.26480          1.063431e-02
0.26507          1.063375e-02
0.26533          1.063319e-02
0.26560          1.063263e-02
0.26586          1.063207e-02
0.26613          1.063150e-02
0.26639          1.063094e-02
0.26666          1.063037e-02
0.26693          1.062981e-02
0.26720          1.062924e-02
0.26746          1.062868e-02
0.26773          1.062811e-02
0.26800          1.062754e-02
0.26827          1.062698e-02
0.26853          1.062641e-02
0.26880          1.062584e-02
0.26907          1.062527e-02
0.26934          1.062470e-02
0.26961          1.062413e-02
0.26988          1.062356e-02
0.27015          1.062299e-02
0.27042          1.062241e-02
0.27069          1.062184e-02
0.27096          1.062127e-02
0.27123          1.062069e-02
0.27150          1.062012e-02
0.27178          1.061954e-02
0.27205          1.061897e-02
0.27232          1.061839e-02
0.27259          1.061782e-02
0.27287          1.061724e-02
0.27314          1.061666e-02
0.27341          1.061608e-02
0.27369          1.061550e-02
0.27396          1.061492e-02
0.27423          1.061434e-02
0.27451          1.061376e-02
0.27478          1.061318e-02
0.27506          1.061260e-02
0.27533          1.061202e-02
0.27561          1.061143e-02
0.27588          1.061085e-02
0.27616          1.061026e-02
0.27644          1.060968e-02
0.27671          1.060909e-02
0.27699          1.060851e-02
0.27727          1.060792e-02
0.27754          1.060733e-02
0.27782          1.060675e-02
0.27810          1.060616e-02
0.27838          1.060557e-02
0.27866          1.060498e-02
0.27894          1.060439e-02
0.27921          1.060380e-02
0.27949          1.060321e-02
0.27977          1.060261e-02
0.28005          1.060202e-02
0.28033          1.060143e-02
0.28061          1.060083e-02
0.28089          1.060024e-02
0.28118          1.059964e-02
0.28146          1.059905e-02
0.28174          1.059845e-02
0.28202          1.059786e-02
0.28230          1.059726e-02
0.28258          1.059666e-02
0.28287          1.059606e-02
0.28315          1.059546e-02
0.28343          1.059486e-02
0.28372          1.059426e-02
0.28400          1.059366e-02
0.28429          1.059306e-02
0.28457          1.059246e-02
0.28485          1.059185e-02
0.28514          1.059125e-02
0.28542          1.059065e-02
0.28571          1.059004e-02
0.28600          1.058944e-02
0.28628          1.058883e-02
0.28657          1.058823e-02
0.28686          1.058762e-02
0.28714          1.058701e-02
0.28743          1.058640e-02
0.28772          1.058579e-02
0.28801          1.058518e-02
0.28829          1.058457e-02
0.28858          1.058396e-02
0.28887          1.058335e-02
0.28916          1.058274e-02
0.28945          1.058213e-02
0.28974          1.058151e-02
0.29003          1.058090e-02
0.29032          1.058029e-02
0.29061          1.057967e-02
0.29090          1.057906e-02
0.29119          1.057844e-02
0.29148          1.057782e-02
0.29177          1.057721e-02
0.29207          1.057659e-02
0.29236          1.057597e-02
0.29265          1.057535e-02
0.29294          1.057473e-02
0.29324          1.057411e-02
0.29353          1.057349e-02
0.29382          1.057287e-02
0.29412          1.057224e-02
0.29441          1.057162e-02
0.29471          1.057100e-02
0.29500          1.057037e-02
0.29530          1.056975e-02
0.29559          1.056912e-02
0.29589          1.056850e-02
0.29618          1.056787e-02
0.29648          1.056724e-02
0.29678          1.056661e-02
0.29707          1.056599e-02
0.29737          1.056536e-02
0.29767          1.056473e-02
0.29797          1.056410e-02
0.29826          1.056346e-02
0.29856          1.056283e-02
0.29886          1.056220e-02
0.29916          1.056157e-02
0.29946          1.056093e-02
0.29976          1.056030e-02
0.30006          1.055966e-02
0.30036          1.055903e-02
0.30066          1.055842e-02
0.30096          1.055783e-02
0.30126          1.055724e-02
0.30156          1.055665e-02
0.30186          1.055606e-02
0.30217          1.055548e-02
0.30247          1.055490e-02
0.30277          1.055434e-02
0.30307          1.055385e-02
0.30338          1.055521e-02
0.30368          1.058314e-02
0.30399          1.055217e-02
0.30429          1.055144e-02
0.30459          1.055082e-02
0.30490          1.055022e-02
0.30520          1.054963e-02
0.30551          1.054905e-02
0.30581          1.054847e-02
0.30612          1.054788e-02
0.30643          1.054730e-02
0.30673          1.054673e-02
0.30704          1.054615e-02
0.30735          1.054557e-02
0.30765          1.054500e-02
0.30796          1.054442e-02
0.30827          1.054386e-02
0.30858          1.054329e-02
0.30889          1.054274e-02
0.30920          1.054222e-02
0.30951          1.054179e-02
0.30982          1.054177e-02
0.31013          1.057408e-02
0.31044          1.056971e-02
0.31075          1.054005e-02
0.31106          1.053892e-02
0.31137          1.053821e-02
0.31168          1.053758e-02
0.31199          1.053699e-02
0.31230          1.053640e-02
0.31262          1.053582e-02
0.31293          1.053525e-02
0.31324          1.053468e-02
0.31356          1.053411e-02
0.31387          1.053354e-02
0.31418          1.053298e-02
0.31450          1.053241e-02
0.31481          1.053185e-02
0.31513          1.053129e-02
0.31544          1.053074e-02
0.31576          1.053018e-02
0.31607          1.052963e-02
0.31639          1.052908e-02
0.31671          1.052853e-02
0.31702          1.052799e-02
0.31734          1.052744e-02
0.31766          1.052691e-02
0.31798          1.052637e-02
0.31830          1.052584e-02
0.31861          1.052532e-02
0.31893          1.052480e-02
0.31925          1.052429e-02
0.31957          1.052380e-02
0.31989          1.052332e-02
0.32021          1.052286e-02
0.32053          1.052246e-02
0.32085          1.052217e-02
0.32117          1.052229e-02
0.32149          1.052556e-02
0.32182          1.061001e-02
0.32214          1.052537e-02
0.32246          1.052059e-02
0.32278          1.051954e-02
0.32311          1.051895e-02
0.32343          1.051850e-02
0.32375          1.051813e-02
0.32408          1.051782e-02
0.32440          1.051757e-02
0.32473          1.051739e-02
