# WALTzER NUV cross dispersion (05.03.2026)
# Wavelength (um)  Cross dispersion (pixels)
0.2397              9.0000
0.2397              9.0000
0.2398              9.0000
0.2398              9.0000
0.2399              9.0000
0.2399              9.0000
0.2400              9.0000
0.2400              9.0000
0.2400              8.9863
0.2401              8.9696
0.2401              8.9529
0.2402              8.9362
0.2402              8.9195
0.2402              8.9028
0.2403              8.8861
0.2403              8.8694
0.2404              8.8527
0.2404              8.8360
0.2405              8.8193
0.2405              8.8026
0.2405              8.7859
0.2406              8.7691
0.2406              8.7524
0.2407              8.7357
0.2407              8.7190
0.2407              8.7023
0.2408              8.6856
0.2408              8.6689
0.2409              8.6522
0.2409              8.6355
0.2410              8.6188
0.2410              8.6021
0.2410              8.5854
0.2411              8.5687
0.2411              8.5519
0.2412              8.5352
0.2412              8.5185
0.2412              8.5018
0.2413              8.4851
0.2413              8.4684
0.2414              8.4517
0.2414              8.4350
0.2415              8.4183
0.2415              8.4016
0.2415              8.3849
0.2416              8.3682
0.2416              8.3515
0.2417              8.3348
0.2417              8.3180
0.2417              8.3013
0.2418              8.2846
0.2418              8.2679
0.2419              8.2512
0.2419              8.2345
0.2420              8.2178
0.2420              8.2011
0.2420              8.1844
0.2421              8.1677
0.2421              8.1510
0.2422              8.1343
0.2422              8.1176
0.2422              8.1009
0.2423              8.0841
0.2423              8.0674
0.2424              8.0507
0.2424              8.0340
0.2425              8.0173
0.2425              8.0006
0.2425              7.9839
0.2426              7.9672
0.2426              7.9505
0.2427              7.9338
0.2427              7.9171
0.2427              7.9004
0.2428              7.8837
0.2428              7.8669
0.2429              7.8502
0.2429              7.8335
0.2430              7.8168
0.2430              7.8001
0.2430              7.7834
0.2431              7.7667
0.2431              7.7500
0.2432              7.7333
0.2432              7.7166
0.2433              7.6999
0.2433              7.6832
0.2433              7.6665
0.2434              7.6498
0.2434              7.6330
0.2435              7.6163
0.2435              7.5996
0.2435              7.5829
0.2436              7.5662
0.2436              7.5495
0.2437              7.5328
0.2437              7.5161
0.2438              7.4994
0.2438              7.4827
0.2438              7.4660
0.2439              7.4493
0.2439              7.4326
0.2440              7.4158
0.2440              7.3991
0.2440              7.3824
0.2441              7.3657
0.2441              7.3490
0.2442              7.3323
0.2442              7.3156
0.2443              7.2989
0.2443              7.2822
0.2443              7.2655
0.2444              7.2488
0.2444              7.2321
0.2445              7.2154
0.2445              7.1987
0.2445              7.1819
0.2446              7.1652
0.2446              7.1485
0.2447              7.1318
0.2447              7.1151
0.2448              7.0984
0.2448              7.0817
0.2448              7.0650
0.2449              7.0483
0.2449              7.0316
0.2450              7.0149
0.2450              6.9982
0.2450              6.9815
0.2451              6.9647
0.2451              6.9480
0.2452              6.9313
0.2452              6.9146
0.2453              6.8979
0.2453              6.8812
0.2453              6.8645
0.2454              6.8478
0.2454              6.8311
0.2455              6.8144
0.2455              6.7977
0.2455              6.7810
0.2456              6.7643
0.2456              6.7476
0.2457              6.7308
0.2457              6.7141
0.2458              6.6974
0.2458              6.6807
0.2458              6.6640
0.2459              6.6473
0.2459              6.6306
0.2460              6.6139
0.2460              6.5972
0.2460              6.5805
0.2461              6.5638
0.2461              6.5471
0.2462              6.5304
0.2462              6.5136
0.2463              6.4969
0.2463              6.4802
0.2463              6.4635
0.2464              6.4468
0.2464              6.4301
0.2465              6.4134
0.2465              6.3967
0.2466              6.3800
0.2466              6.3633
0.2466              6.3466
0.2467              6.3299
0.2467              6.3132
0.2468              6.2965
0.2468              6.2797
0.2468              6.2630
0.2469              6.2463
0.2469              6.2296
0.2470              6.2129
0.2470              6.1962
0.2471              6.1795
0.2471              6.1628
0.2471              6.1461
0.2472              6.1294
0.2472              6.1127
0.2473              6.0960
0.2473              6.0793
0.2473              6.0626
0.2474              6.0458
0.2474              6.0291
0.2475              6.0124
0.2475              5.9957
0.2476              5.9790
0.2476              5.9623
0.2476              5.9456
0.2477              5.9289
0.2477              5.9122
0.2478              5.8955
0.2478              5.8788
0.2478              5.8621
0.2479              5.8454
0.2479              5.8286
0.2480              5.8119
0.2480              5.7952
0.2481              5.7785
0.2481              5.7618
0.2481              5.7451
0.2482              5.7284
0.2482              5.7117
0.2483              5.6950
0.2483              5.6783
0.2483              5.6616
0.2484              5.6449
0.2484              5.6282
0.2485              5.6115
0.2485              5.5947
0.2486              5.5780
0.2486              5.5613
0.2486              5.5446
0.2487              5.5279
0.2487              5.5112
0.2488              5.4945
0.2488              5.4778
