#Wavelength (nm)  QE (%)
0.4057142857  69.91869919
0.4075187970  70.09936766
0.4147368421  74.25474255
0.4156390977  74.25474255
0.4345864662  80.21680217
0.4553383459  85.27551942
0.4796992481  90.1535682
0.5175939850  93.85727191
0.5536842105  95.21228546
0.5915789474  95.03161698
0.6150375940  94.21860885
0.6493233083  92.41192412
0.6863157895  89.34056007
0.7106766917  86.26919603
0.7305263158  83.28816621
0.7557894737  78.3197832
0.7738345865  74.16440831
0.7936842105  68.83468835
0.8117293233  63.68563686
