# WALTzER NIR band. Generated on: 2026-03-02
#wl[um]      throughput
0.90000000     0.379226
0.90707071     0.379226
0.91414141     0.379226
0.92121212     0.379226
0.92828283     0.379226
0.93535354     0.379226
0.94242424     0.379226
0.94949495     0.379226
0.95656566     0.379226
0.96363636     0.379226
0.97070707     0.379226
0.97777778     0.379226
0.98484848     0.379226
0.99191919     0.379226
0.99898990     0.379226
1.00606061     0.379226
1.01313131     0.379226
1.02020202     0.379226
1.02727273     0.379226
1.03434343     0.379226
1.04141414     0.379226
1.04848485     0.379226
1.05555556     0.379226
1.06262626     0.379226
1.06969697     0.379226
1.07676768     0.379226
1.08383838     0.379226
1.09090909     0.379226
1.09797980     0.379226
1.10505051     0.379226
1.11212121     0.379226
1.11919192     0.379226
1.12626263     0.379226
1.13333333     0.379226
1.14040404     0.379226
1.14747475     0.379226
1.15454545     0.379226
1.16161616     0.379226
1.16868687     0.379226
1.17575758     0.379226
1.18282828     0.379226
1.18989899     0.379226
1.19696970     0.379226
1.20404040     0.379226
1.21111111     0.379226
1.21818182     0.379226
1.22525253     0.379226
1.23232323     0.379226
1.23939394     0.379226
1.24646465     0.379226
1.25353535     0.379226
1.26060606     0.379226
1.26767677     0.379226
1.27474747     0.379226
1.28181818     0.379226
1.28888889     0.379226
1.29595960     0.379226
1.30303030     0.379226
1.31010101     0.379226
1.31717172     0.379226
1.32424242     0.379226
1.33131313     0.379226
1.33838384     0.379226
1.34545455     0.379226
1.35252525     0.379226
1.35959596     0.379226
1.36666667     0.379226
1.37373737     0.379226
1.38080808     0.379226
1.38787879     0.379226
1.39494949     0.379226
1.40202020     0.379226
1.40909091     0.379226
1.41616162     0.379226
1.42323232     0.379226
1.43030303     0.379226
1.43737374     0.379226
1.44444444     0.379226
1.45151515     0.379226
1.45858586     0.379226
1.46565657     0.379226
1.47272727     0.379226
1.47979798     0.379226
1.48686869     0.379226
1.49393939     0.379226
1.50101010     0.379226
1.50808081     0.379226
1.51515152     0.379226
1.52222222     0.379226
1.52929293     0.379226
1.53636364     0.379226
1.54343434     0.379226
1.55050505     0.379226
1.55757576     0.379226
1.56464646     0.379226
1.57171717     0.379226
1.57878788     0.379226
1.58585859     0.379226
1.59292929     0.379226
1.60000000     0.379226
