# Wavelength(A)  throughput
 4700.000  0.0000
 4750.000  0.0040
 4800.000  0.0320
 4850.000  0.0840
 4900.000  0.1720
 4950.000  0.3100
 5000.000  0.4780
 5050.000  0.6500
 5100.000  0.8020
 5150.000  0.9130
 5200.000  0.9780
 5250.000  1.0000
 5300.000  0.9940
 5350.000  0.9770
 5400.000  0.9500
 5450.000  0.9110
 5500.000  0.8620
 5550.000  0.8060
 5600.000  0.7470
 5650.000  0.6900
 5700.000  0.6340
 5750.000  0.5790
 5800.000  0.5230
 5850.000  0.4670
 5900.000  0.4130
 5950.000  0.3630
 6000.000  0.3170
 6050.000  0.2740
 6100.000  0.2340
 6150.000  0.2000
 6200.000  0.1680
 6250.000  0.1400
 6300.000  0.1140
 6350.000  0.0890
 6400.000  0.0670
 6450.000  0.0500
 6500.000  0.0370
 6550.000  0.0270
 6600.000  0.0200
 6650.000  0.0160
 6700.000  0.0130
 6750.000  0.0120
 6800.000  0.0100
 6850.000  0.0090
 6900.000  0.0070
 6950.000  0.0040
 7000.000  0.0000
